"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2021","1,816.80","1,792.60","1,820.10","1,785.30","-","1.30%"
"Nov 04, 2021","1,793.50","1,769.90","1,800.30","1,769.30","222.61K","1.68%"
"Nov 03, 2021","1,763.90","1,789.20","1,789.30","1,758.50","257.43K","-1.43%"
"Nov 02, 2021","1,789.40","1,794.80","1,797.80","1,787.40","145.79K","-0.36%"
"Nov 01, 2021","1,795.80","1,785.30","1,797.50","1,780.20","143.33K","0.67%"
"Oct 29, 2021","1,783.90","1,801.50","1,802.90","1,772.40","254.51K","-1.04%"
"Oct 28, 2021","1,802.60","1,798.70","1,812.70","1,793.10","220.88K","0.21%"
"Oct 27, 2021","1,798.80","1,795.00","1,801.00","1,784.30","182.80K","0.30%"
"Oct 26, 2021","1,793.40","1,808.70","1,809.80","1,783.00","197.93K","-0.74%"
"Oct 25, 2021","1,806.80","1,794.20","1,811.50","1,793.00","153.59K","0.58%"
"Oct 22, 2021","1,796.30","1,783.70","1,815.50","1,783.40","312.81K","0.81%"
"Oct 21, 2021","1,781.90","1,782.50","1,790.30","1,776.80","138.73K","-0.17%"
"Oct 20, 2021","1,784.90","1,769.40","1,789.60","1,767.10","174.08K","0.81%"
"Oct 19, 2021","1,770.50","1,764.80","1,786.00","1,763.40","166.97K","0.27%"
"Oct 18, 2021","1,765.70","1,767.50","1,772.50","1,760.30","152.74K","-0.15%"
"Oct 15, 2021","1,768.30","1,797.30","1,797.70","1,765.10","202.63K","-1.65%"
"Oct 14, 2021","1,797.90","1,793.60","1,801.90","1,787.60","164.65K","0.18%"
"Oct 13, 2021","1,794.70","1,760.40","1,797.40","1,757.90","299.04K","2.01%"
"Oct 12, 2021","1,759.30","1,753.60","1,770.00","1,750.50","168.11K","0.21%"
"Oct 11, 2021","1,755.70","1,757.40","1,761.10","1,749.90","114.77K","-0.10%"
"Oct 08, 2021","1,757.40","1,757.00","1,782.40","1,753.60","240.37K","-0.10%"
"Oct 07, 2021","1,759.20","1,763.80","1,767.70","1,752.00","146.41K","-0.15%"